id,area,bedrooms,bathrooms,stories,parking,price
1,7420,4,2,3,2,13300000
2,8960,4,4,4,3,12250000
3,9960,3,2,2,2,12250000
4,7500,4,2,2,3,12215000
5,7420,4,1,2,2,11410000
6,7500,3,3,1,2,10850000
7,8580,4,3,4,2,10150000
8,16200,5,3,2,0,10150000
9,8100,4,1,2,2,9870000
10,5750,3,2,4,1,9800000
11,13200,3,1,2,2,9800000
12,6000,4,3,2,2,9681000
13,6550,4,2,2,1,9310000
14,3500,4,2,2,0,9240000
15,7800,3,2,2,0,9240000
16,6000,4,1,3,2,9100000
17,6600,4,2,2,1,9100000
18,8500,3,2,4,2,8960000
19,4600,3,2,2,2,8890000
20,6420,3,2,2,1,8855000
21,4320,3,1,2,2,8750000
22,7155,3,2,1,2,8680000
23,8050,3,1,1,1,8645000
24,4560,3,2,2,1,8645000
25,8800,3,3,1,2,8575000
26,6540,4,2,2,0,8540000
27,5400,3,2,2,0,8470000
28,8875,3,1,1,1,8400000
29,7950,5,2,2,2,8400000
30,5500,4,2,2,1,8400000
31,7475,3,2,4,2,8330000
32,7000,3,1,4,2,8295000
33,4880,4,2,2,1,8295000
34,5960,3,3,2,1,8190000
35,6840,5,1,2,1,8120000
36,7000,3,2,4,2,8085000
37,7482,3,2,3,1,8043000
38,9000,4,2,4,2,7980000
39,6000,3,1,4,2,7962500
40,6000,4,2,4,1,7910000
41,6510,4,2,2,0,7875000
42,6360,3,2,4,0,7840000
43,6480,3,2,4,2,7700000
44,4800,3,2,3,0,7700000
45,6000,4,2,4,2,7560000
46,6000,3,2,3,0,7560000
47,6000,3,2,4,1,7525000
48,6600,3,1,4,3,7490000
49,4300,3,2,2,1,7455000
50,7440,3,2,1,1,7420000
