passenger_id,pclass,sex,age,sibsp,parch,fare,embarked,survived
1,3,male,22.0,1,0,7.25,S,0
2,1,female,38.0,1,0,71.2833,C,1
3,3,female,26.0,0,0,7.925,S,1
4,1,female,35.0,1,0,53.1,S,1
5,3,male,35.0,0,0,8.05,S,0
6,3,male,,0,0,8.4583,Q,0
7,1,male,54.0,0,0,51.8625,S,0
8,3,male,2.0,3,1,21.075,S,0
9,3,female,27.0,0,2,11.1333,S,1
10,2,female,14.0,1,0,30.0708,C,1
11,3,female,4.0,1,1,16.7,S,1
12,1,female,58.0,0,0,26.55,S,1
13,3,male,20.0,0,0,8.05,S,0
14,3,male,39.0,1,5,31.275,S,0
15,3,female,14.0,0,0,7.8542,S,0
16,2,female,55.0,0,0,16.0,S,1
17,3,male,2.0,4,1,29.125,Q,0
18,2,male,,0,0,13.0,S,1
19,3,female,31.0,1,0,18.0,S,0
20,3,female,,0,0,7.225,C,1
21,2,male,35.0,0,0,26.0,S,0
22,2,male,34.0,0,0,13.0,S,1
23,3,female,15.0,0,0,8.0292,Q,1
24,1,male,28.0,0,0,35.5,S,1
25,3,female,8.0,3,1,21.075,S,0
26,3,female,38.0,1,5,31.3875,S,1
27,3,male,,0,0,7.225,C,0
28,1,male,19.0,3,2,263.0,S,0
29,3,female,,0,0,7.8792,Q,1
30,3,male,,0,0,7.8958,S,0
31,1,male,40.0,0,0,27.7208,C,0
32,1,female,,1,0,146.5208,C,1
33,3,female,,0,0,7.75,Q,1
34,2,male,66.0,0,0,10.5,S,0
35,1,male,28.0,1,0,82.1708,C,0
36,1,male,42.0,1,0,52.0,S,0
37,3,male,,0,0,7.2292,C,1
38,3,male,21.0,0,0,8.05,S,0
39,3,female,18.0,2,0,18.0,S,0
40,3,female,14.0,1,0,11.2417,C,1
41,3,female,40.0,1,0,9.475,S,0
42,2,female,27.0,1,0,21.0,S,0
43,3,male,,0,0,7.8958,C,0
44,2,female,3.0,1,2,41.5792,C,1
45,3,female,19.0,0,0,7.8792,Q,1
46,3,male,,0,0,8.05,S,0
47,3,male,,1,0,15.5,Q,0
48,3,female,,0,0,7.75,Q,1
49,3,male,,2,0,21.6792,C,0
50,3,female,18.0,1,0,17.8,S,0
51,3,male,7.0,4,1,39.6875,S,0
52,3,male,21.0,0,0,7.8,S,0
53,1,female,49.0,1,0,76.7292,C,1
54,2,female,29.0,1,0,26.0,S,1
55,1,male,65.0,0,1,61.9792,C,0
56,1,male,,0,0,35.5,S,1
57,2,female,21.0,0,0,10.5,S,1
58,3,male,28.5,0,0,7.2292,C,0
59,2,female,5.0,1,2,27.75,S,1
60,3,male,11.0,5,2,46.9,S,0
